	ISO3	current_mammal_SR	rcp26_mammal_SR	rcp26_mammal_pctChange	rcp45_mammal_SR	rcp45_mammal_pctChange	rcp60_mammal_SR	rcp60_mammal_pctChange	rcp85_mammal_SR	rcp85_mammal_pctChange	current_bird_SR	rcp26_bird_SR	rcp26_bird_pctChange	rcp45_bird_SR	rcp45_bird_pctChange	rcp60_bird_SR	rcp60_bird_pctChange	rcp85_bird_SR	rcp85_bird_pctChange	current_both_SR	rcp26_both_SR	rcp26_both_pctChange	rcp45_both_SR	rc45_both_pctChange	rcp60_both_SR	rcp60_both_pctChange	rcp85_both_SR	rcp85_both_pctChange	GDP_per_capita	CO2_per_capita	Governance_score
11	BDI	232	221.6	-4.482758621	218.4666667	-5.833333333	202.6666667	-12.64367816	189.4666667	-18.33333333	708.6	671.9333333	-5.174522533	630.2	-11.06407	600.5333333	-15.25072914	540.2666667	-23.75576254	940.6	893.5333333	-5.003898221	848.6666667	-9.773903182	803.2	-14.60769721	729.7333333	-22.41831455	285.7274	0.04448538	-1.433333333
12	BEL	117.2666667	135.8	15.80443434	141.2	20.40932348	136.5333333	16.42978965	149.0666667	27.1176805	301.6666667	310.6	2.961325967	319.1333333	5.790055249	319.3333333	5.856353591	310.6666667	2.983425414	418.9333333	446.4	6.556333546	460.3333333	9.882240611	455.8666667	8.816040738	459.7333333	9.739019733	41271.4822	8.3281599	1.181666667
13	BEN	187.3103448	176.6034483	-5.716126657	174.862069	-6.645802651	174.7413793	-6.710235641	164.7931034	-12.02135493	502.6551724	456.0344828	-9.274885093	448.1034483	-10.85271318	447.0172414	-11.06880702	420.2413793	-16.39569184	689.9655172	632.637931	-8.308761058	622.9655172	-9.710630216	621.7586207	-9.885551502	585.0344828	-15.20815633	789.4404	0.61421385	-0.305
14	BFA	143.5531915	136.0638298	-5.217133541	128.7304965	-10.3255768	127.822695	-10.95795662	126.1843972	-12.09920458	407.4397163	394.2695035	-3.232432244	373.2978723	-8.379606259	369.7943262	-9.239499382	362.3687943	-11.06198541	550.9929078	530.3333333	-3.749517312	502.0283688	-8.886600592	497.6170213	-9.687218432	488.5531915	-11.33221779	627.1031	0.16201881	-0.435
15	BGD	210.3823529	197.6617647	-6.046414092	199.3235294	-5.256535719	196.3529412	-6.668530686	185.2647059	-11.93904655	648.4264706	605.7205882	-6.586079423	581.0147059	-10.39620801	577.0882353	-11.00174631	549.4852941	-15.25865784	858.8088235	803.3823529	-6.453877635	780.3382353	-9.137142759	773.4411765	-9.940238703	734.75	-14.44545283	1358.779	0.45914196	-0.815
16	BGR	146.1818182	152.3454545	4.21641791	145.8545455	-0.223880597	154.7272727	5.845771144	156.0181818	6.728855721	341.4909091	326.8181818	-4.296667022	303.6545455	-11.07975721	309.6363636	-9.328080077	291.9636364	-14.50324779	487.6727273	479.1636364	-1.744836328	449.5090909	-7.825665498	464.3636364	-4.779658489	447.9818182	-8.13884125	7469.0252	5.87161587	0.235
17	BHS	187.8888889	191.6666667	2.010644589	190.8888889	1.59668835	191.6666667	2.010644589	189.1111111	0.650502661	594.3333333	582.1111111	-2.056459151	574.6666667	-3.309029725	576.1111111	-3.065993644	568.1111111	-4.412039634	782.2222222	773.7777778	-1.079545455	765.5555556	-2.130681818	767.7777778	-1.846590909	757.2222222	-3.196022727	28785.4777	6.32325751	0.598333333
18	BIH	167.76	165.08	-1.597520267	162	-3.433476395	162.88	-2.908917501	157.96	-5.841678588	348.8	347.8	-0.286697248	342.52	-1.800458716	346.56	-0.642201835	330.2	-5.332568807	516.56	512.88	-0.712405142	504.52	-2.330803779	509.44	-1.378349079	488.16	-5.497909246	4808.4054	6.23471916	-0.376666667
19	BLR	116.8867925	134.1698113	14.78611784	130.509434	11.65456013	131.5849057	12.57465698	123.0377358	5.262308313	335.1320755	333.1320755	-0.596779642	323.3773585	-3.507487896	321.3584906	-4.109897534	295.8773585	-11.71320797	452.0188679	467.3018868	3.381057728	453.8867925	0.413240389	452.9433962	0.204533122	418.9150943	-7.323538006	4989.4278	6.7019577	-0.496666667
20	BLZ	262.375	238.375	-9.147212959	244.875	-6.669842782	236.25	-9.957122439	220.5	-15.95998094	796.25	707.875	-11.0989011	704	-11.5855573	679.375	-14.67817896	611	-23.26530612	1058.625	946.25	-10.61518479	948.875	-10.36722163	915.625	-13.50808832	831.5	-21.4547172	4744.7364	1.40760149	-0.29
21	BOL	199.9202899	189.8387681	-5.042770669	196.2844203	-1.818659611	195.2065217	-2.35782377	192.8532609	-3.534923339	620	562.3405797	-9.299906498	571.0688406	-7.892122487	562.4728261	-9.278576438	546.4202899	-11.86769518	819.9202899	752.1793478	-8.261893609	767.3532609	-6.411236511	757.6793478	-7.591096696	739.2735507	-9.835924312	3104.9561	1.9324195	-0.545
22	BRA	230.4472584	235.1526487	2.041851297	232.5027881	0.891974048	232.7286245	0.989973232	226.1171004	-1.879023436	715.802277	671.3592007	-6.208848119	646.6319703	-9.663325882	644.2829926	-9.991486014	608.722119	-14.95946038	946.2495353	906.5118494	-4.199493304	879.1347584	-7.092714389	877.0116171	-7.317088742	834.8392193	-11.7738833	8649.9485	2.59438828	-0.238333333
23	BRN	234	201	-14.1025641	195	-16.66666667	200.6666667	-14.24501425	190.6666667	-18.51851852	683.3333333	543.3333333	-20.48780488	515.3333333	-24.58536585	523	-23.46341463	493.6666667	-27.75609756	917.3333333	744.3333333	-18.85901163	710.3333333	-22.56540698	723.6666667	-21.1119186	684.3333333	-25.3997093	26939.4175	22.12470124	0.621666667
24	BTN	227.4210526	213.8947368	-5.947697292	214.3157895	-5.762554964	210.3157895	-7.521407082	208.4210526	-8.354547558	701.7368421	698.5789474	-0.45001125	699.7368421	-0.285007125	689.6315789	-1.725043126	680.5789474	-3.015075377	929.1578947	912.4736842	-1.795627053	914.0526316	-1.625693894	899.9473684	-3.143763453	889	-4.321966693	2773.5471	1.28932137	0.565
25	BWA	118.1979866	114.4295302	-3.188257673	97.73489933	-17.31255146	94.51006711	-20.04088238	63.38255034	-46.37594753	338.4798658	326.9731544	-3.399526109	284.5939597	-15.91997383	281.2516779	-16.90741273	193.1577181	-42.93376426	456.6778523	441.4026846	-3.344845323	382.3288591	-16.28040267	375.761745	-17.71842163	256.5402685	-43.82467485	6924.1498	3.24328764	0.575
26	CAF	190.5949367	207.8132911	9.034004118	206.2943038	8.237032609	208.3449367	9.312944146	201.8037975	5.880985588	523.3544304	527.9272152	0.873745314	523.4398734	0.016326037	522.1898734	-0.222517838	502.056962	-4.069415891	713.9493671	735.7405063	3.052196731	729.7341772	2.210914507	730.5348101	2.32305592	703.8607595	-1.413070458	382.2132	0.06659311	-1.58
27	CAN	76.1354438	87.96373472	15.53585339	90.19434983	18.46565191	91.77098778	20.53648498	100.8845923	32.50673698	273.3352034	303.8076538	11.14838119	307.1134041	12.35779378	312.8673613	14.46288564	335.0136245	22.56512165	349.4706472	391.7713885	12.10423298	397.307754	13.68844771	404.638349	15.78607597	435.8982168	24.73099539	42348.9455	15.11715878	1.59
